Questionnarie,Section,Variable name,Label,Data type,Answer_Choice_Key,Values,Length,Precision,Scale,Description,Pre-selected variables,Participant characteristics,Anthropomorphic measurements,Employment,Environment,Residency,Oral contraceptives,Pregnancy,Medications,Female health history,Menopause/menstrual Periods,Female surgery,Menopausal hormone therapy,X-Rays imaging and radiation,Personal medical history,Personal history of cancer,Family history of cancer,Family history of other medical conditions,Children's health history,Mammograms and other health screenings,Physical activity,Vitamins,Diet,Alcohol use,Smoking,Secondhand smoke,Happiness and social support,Cognitive status,Sleep habits,Medicinal cannabis,Sexual orientation,Financial stress
Q1,BACKGROUND & ENVIRONMENT,age_at_baseline,Age at Q1 (fillx - birthx),Num,1402,"22-104
-99=Missing",,3,0,Q2 Age at Q1 (fillx -birthx),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,adopted,Adopted,Char,4,"A=No
B=Yes
C=Don't Know
-99=Missing",1,,,Q3 Were you adopted?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,twin,Twin,Char,5,"A=California
B=Other US or Canada
C=Mexico, South America, Central America or the Carribean
D=Asia or Pacific Islands
E=Eastern Europe
F=Western Europe
G=Middle East or Israel
H=Africa
I=Other
-88=Unable to assign value
-99=Missing",1,,,Q4 Are you a twin?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,birthplace,Where were you born,Char,6,"A=California
B=Other US or Canada
C=Mexico, South America, Central America or the Carribean
D=Asia or Pacific Islands
E=Eastern Europe
F=Western Europe
G=Middle East or Israel
H=Africa
I=Other
-88=Unable to assign value
-99=Missing",1,,,Q5 Where were you born?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,birthplace_mom,Where was dad born,Char,7,"A=California
B=Other US or Canada
C=Mexico, South America, Central America or the Carribean
D=Asia or Pacific Islands
E=Eastern Europe
F=Western Europe
G=Middle East or Israel
H=Africa
I=Other
-88=Unable to assign value
-99=Missing",1,,,Q5 Where was your father born?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,birthplace_dad,Where was mom born,Char,8,"A=Cal, B=othUS/Can, C=Mx/S,C Am/Car, D=As/Pac, E=Eeur, F=Weur, G=MdEst/Isr, H=Afr, I=Oth, Z=Problem",1,,,Q5 Where was your mother born?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,participant_race,Teacher's Race-RECONSTITUTED,Num,1395,"0-6
0=None reported
1=White
2=Black
3=Hispanic
4=Native American
5=Asian or Pacific Islander
6=Other/Mixed",,3,0,Q6 RECONSTITUTED - Teachers Race,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,father_race,Father's Race-RECONSTITUTED,Num,1397,"0-6
0=None reported
1=White
2=Black
3=Hispanic
4=Native American
5=Asian or Pacific Islander
6=Other/Mixed",,3,0,Q6 RECONSTITUTED - Fathers race,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,mother_race,Mother's Race-RECONSTITUTED,Num,1399,"0-6
0=None reported
1=White
2=Black
3=Hispanic
4=Native American
5=Asian or Pacific Islander
6=Other/Mixed",,3,0,Q6 RECONSTITUTED - Mothers race,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,nih_ethnic_cat,For grant inclusion enrollment report: Part A-Ethnic Category,Char,1637,"1=Hispanic
2=Not Hispanic
3=Unknown
-99=Missing",24,,,Q6 For grant inclusion enrollment report: Part A-Ethnic Category,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,nih_race_cat,For grant inclusion enrollment report: Part A-Racial Category,Char,1638,"1=American Indian/Alaska Native
2=Asia
3=Native Hawaiian/Pacific Islander
4=Black
5=White
6=2+ Races
7=Unknown
-99=Missing",45,,,Q6 For grant inclusion enrollment report: Part A-Racial Category,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,nih_hispanic_enrollment,For grant inclusion enrollment report: Part B-Hispanic Enrollment,Char,1639,"White
-99=Missing",5,,,Q6 For grant inclusion enrollment report: Part B-Hispanic Enrollment,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,age_mom,Age of mom at your birth,Char,42,"A=<20
B=20-24
C=25-29
D=30-34
E=35-39
F=40-44
G=45+
H=Don't Know
-88=Unable to assign value
-99=Missing",1,,,Q7 How old was mom when you were born?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,age_dad,Age of dad at your birth,Char,43,"A=<20
B=20-24
C=25-29
D=30-34
E=35-39
F=40-44
G=45+
H=Don't Know
-88=Unable to assign value
-99=Missing",1,,,Q7 How old was dad when you were born?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,older_bros,Number of bros born before you,Char,45,"A=0
B=1
C=2
D=3
E=4
F=5+
-88=Unable to assign value
-99=Missing",1,,,Q8 # of brothers born before you?,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,older_sis,Number of sis born before you,Char,46,"A=0
B=1
C=2
D=3
E=4
F=5+
-88=Unable to assign value
-99=Missing",1,,,Q8 # of sisters born before you?,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,younger_bros,Number of bros born after you,Char,47,"A=0
B=1
C=2
D=3
E=4
F=5+
-88=Unable to assign value
-99=Missing",1,,,Q8 # of brothers born after you?,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,younger_sis,Number of sis born after you,Char,48,"A=0
B=1
C=2
D=3
E=4
F=5+
-88=Unable to assign value
-99=Missing",1,,,Q8 # of sisters born after you?,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,NUMSCHL,Number of schools employed at,Char,58,"A=1, B=2-3, C=4-5, D=6-8, E=9-12, F=13+",1,,,Q10 How many schools employed at?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,EMPCAPCR,Type of empl in CA schools current,Char,56,"A=Preschool, B=Elem, C=Jr High, D=High, E=Other, F=Pupil Svc, G=Admin,  H=Pre/Elm/Oth, I=JrH/Hi/Oth, J=Multi, K=PS/Adm, L=PS/Adm/Tch, M=Unk",1,,,Q9 Capacity employed in CA schools currently?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,EMPCAPL,Type of empl in CA schools longest,Char,57,"A=Preschool, B=Elem, C=Jr High, D=High, E=Other, F=Pupil Svc, G=Admin, H=Pre/Elm/Oth, I=JrH/Hi/Oth, J=Multi, K=PS/Adm, L=PS/Adm/Tch, M=Unk",1,,,Q9 Capacity employed in CA schools longest?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,TCHTYPX,RECONSTITUTED - Teacher Type,Char,1394,A=Presch  B=Elem  C=Junior Hi  D=High E=Oth F=Pupil Servcs G=Admin H=Multi I=Unk,1,,,Q9 RECONSTITUTED- Teacher type,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,YRSCHL,Total years empl in CA school sys,Char,59,"A=<1, B=1-4, C=5-9, D=10-14, E=15-19, F=20+",1,,,Q11 How many years total empl in CA school sys?,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,NEARCHEM,Live/work near chemical plant,Char,60,N/Y/Z,1,,,Q13 Ever lived/worked w/i 1/2 mile chem plant?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,NEARPWR,Live/work near power plant,Char,61,N/Y/Z,1,,,Q13 Ever lived/worked w/i 1/2 mile power plant?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,BACKGROUND & ENVIRONMENT,NEARPULP,Live/work near pulp mill,Char,62,N/Y/Z,1,,,Q13 Ever lived/worked w/i 1/2 mile pulp mill?,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
