Variable,RType,SASType,SASLen,SASFormat,SASInformat,SASLabel
ssap_id,numeric,Num,8,11.,11.,Unique identifier for each participant
date_of_birth_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Date of birth
date_of_death_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Date of death
cause_of_death_cde,character,Char,7,$7.00 ,$7.00 ,Cause of death code
cause_of_death_dsc,character,Char,60,$60.00 ,$60.00 ,Cause of death description
qnr_1_fill_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Q1 fill date
qnr_2_fill_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Q2 fill date
qnr_3_fill_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Q3 fill date
qnr_4_fill_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Q4 fill date
qnr_4_mini_fill_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Q4 mini fill date
qnr_5_fill_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Q5 fill date
qnr_5_mini_fill_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Q5 mini fill date
qnr_6_fill_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Q6 fill date
ses_quartile_ind,numeric,Num,8,4.,4.,SES quartiles - 1990 census blocks
blockgroup90_urban_cat,character,Char,2,$2.00 ,$2.00 ,Urbanization categories - 1990 census blocks
hysterectomy_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Date of hysterectomy
hysterectomy_ind,numeric,Num,8,4.,4.,Hysterectomy indicator
bilateral_mastectomy_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Date of bilateral mastectomy
bilateral_mastectomy_ind,numeric,Num,8,4.,4.,Bilateral mastectomy indicator
bilateral_oophorectomy_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Date of bilateral oophorectomy
bilateral_oophorectomy_ind,numeric,Num,8,4.,4.,Bilateral oophorectomy indicator
first_moveout_ca_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Date first moved out of CA
prevalent,numeric,Num,8,4.,4.,Prevalent cancer before analysis start date
case_indicator,numeric,Num,8,4.,4.,Case indicator
analysis_start_date,Date,Num,8,MMDDYY10.,anydtdte10.,Analysis start date
end_of_followup_date,Date,Num,8,MMDDYY10.,anydtdte10.,End of follow-up date
firstselectedcancer_date,Date,Num,8,MMDDYY10.,anydtdte10.,First selected cancer date
firstothercancer_date,Date,Num,8,MMDDYY10.,anydtdte10.,First other cancer date
analysis_end_date,Date,Num,8,MMDDYY10.,anydtdte10.,Analysis end date
event,numeric,Num,8,4.,4.,Event to end follow-up
date_dt,Date,Num,8,MMDDYY10.,anydtdte10.,Cancer diagnosis date
seer_id,numeric,Num,8,11.,11.,Seer ID
site_sub_cat1_nme,character,Char,40,$40.00 ,$40.00 ,Site sub category 1 name
site_group_nme,character,Char,50,$50.00 ,$50.00 ,Site group name
histologic_icdo2_typ,character,Char,4,$4.00 ,$4.00 ,Histologic ICD-O-2 type
histologic_icdo3_typ,character,Char,4,$4.00 ,$4.00 ,Histologic ICD-O-3 type
icd_o3_cde,character,Char,4,$4.00 ,$4.00 ,ICD-O-3 code
tumor_grade_id,numeric,Num,8,4.,4.,Tumor grade id
stage_cde,character,Char,2,$2.00 ,$2.00 ,Stage code
stage_behaviour_ind,numeric,Num,8,6.,6.,Stage behaviour ind
stage_behaviour_nme,character,Char,20,$20.00 ,$20.00 ,Stage behaviour name
stage_sum_ind,numeric,Num,8,4.,4.,Stage sum indicator
stage_seer_cde,character,Char,2,$2.00 ,$2.00 ,Stage seer code
cancer_confirm_ind,numeric,Num,8,4.,4.,Cancer confirm indicator
lag_birth_day_qty,numeric,Num,8,11.,11.,Lag birthday qty
lag_death_day_qty,numeric,Num,8,11.,11.,Lag death day qty
lag_from_first_event_day_qty,numeric,Num,8,11.,11.,Lag from first event day qty
lag_from_qnr1_day_qty,numeric,Num,8,11.,11.,Lag from qnr1 day qty
lag_from_qnr2_day_qty,numeric,Num,8,11.,11.,Lag from qnr2 day qty
lag_from_qnr3_day_qty,numeric,Num,8,11.,11.,Lag from qnr3 day qty
lag_from_qnr3m_day_qty,numeric,Num,8,11.,11.,Lag from qnr3m day qty
lag_from_qnr4_day_qty,numeric,Num,8,11.,11.,Lag from qnr4 day qty
lag_from_qnr4m_day_qty,numeric,Num,8,11.,11.,Lag from qnr4m day qty
lag_from_qnr5_day_qty,numeric,Num,8,11.,11.,Lag from qnr5 day qty
lag_from_qnr5m_day_qty,numeric,Num,8,11.,11.,Lag from qnr5m day qty
lag_from_qnr6_day_qty,numeric,Num,8,11.,11.,Lag from qnr6 day qty
lymph_node_pos_nbr_cde,character,Char,2,$2.00 ,$2.00 ,Lymph node pos nbr code
tumor_multi_asone_primary_cde,character,Char,2,$2.00 ,$2.00 ,Tumor multi asone primary code
tumor_multi_count_cde,character,Char,2,$2.00 ,$2.00 ,Tumor multi count code
chemo_sum_cde,character,Char,2,$2.00 ,$2.00 ,Chemo sum code
