Domain,Questionnaire Number,Section Title,Variable name,Short Description,Values,Length,Precision,Scale,Long Description,Pre-selected variable?,Original CTS Variable Name (for questionnaire variables),,,
Participant,,,participant_key,Unique identifier for each participant,,,,,This is the unique identifier for each CTS participant,,,,,
Participant,,,date_of_birth_dt,Date of birth,,,,,Participant date of birth,,,,,
Participant,,,date_of_death_dt,Date of death,,,,,Participant date of death,,,,,
Participant,,,cause_of_death_cde,Cause of death code,,7,,,Cause of death code (typically ICD 9),,,,,
Participant,,,cause_of_death_dsc,Cause of death description,,60,,,Cause of Death description - short code,,,,,
Participant,,,qnr_1_fill_dt,Q1 fill date,,,,,Date questionnaire 1 was filled out by the participant,,,,,
Participant,,,qnr_2_fill_dt,Q2 fill date,,,,,Date questionnaire 2 was filled out by the participant,,,,,
Participant,,,qnr_3_fill_dt,Q3 fill date,,,,,Date questionnaire 3 was filled out by the participant,,,,,
Participant,,,qnr_4_fill_dt,Q4 fill date,,,,,Date questionnaire 4 was filled out by the participant,,,,,
Participant,,,qnr_4_mini_fill_dt,Q4 mini fill date,,,,,Date questionnaire 4 mini was filled out by the participant,,,,,
Participant,,,qnr_5_fill_dt,Q5 fill date,,,,,Date questionnaire 5 was filled out by the participant,,,,,
Participant,,,qnr_5_mini_fill_dt,Q5 mini fill date,,,,,Date questionnaire 5 mini was filled out by the participant,,,,,
Participant,,,qnr_6_fill_dt,Q6 fill date,,,,,Date questionnaire 6 was filled out by the participant,,,,,
Participant,,,ses_quartile_ind,SES quartiles - 1990 census blocks,1 - low ... 4 - high,,,,"SES population-based quartiles (A summary SES metric was created incorporating three 1990 census block group variables (occupation, education and income). To do this we first ranked all block groups in the state by level of education (% of adults over the age of 25 completing a college degree or higher), income (median family income), and occupation (% of adults employed in managerial/professional occupations) according to quartiles based on the statewide adult population. This resulted in a score of one through four for each of these SES attributes. We then created a summary SES metric by summing the scores across each of these attributes and categorizing into four groups based on the quartiles of this score for the statewide population.)",,,,,
Participant,,,blockgroup90_urban_cat,Urbanization categories - 1990 census blocks,"1R = Rural,2T = Town,3C = City,4S = Suburban,5M = Urban",2,,,Urbanization categories of 1990 census block groups,,,,,
Participant,,,hysterectomy_dt,Date of hysterectomy,,,,,This is the earliest recorded date a participant had an hysterectomy,,,,,
Participant,,,hysterectomy_ind,Hysterectomy indicator,"0=No, 1=Yes",1,,,This is an indicator used to define if a participant had a hysterectomy,,,,,
Participant,,,bilateral_mastectomy_dt,Date of bilateral mastectomy,,,,,This is the earliest recorded date the participant had a bilateral mastectomy,,,,,
Participant,,,bilateral_mastectomy_ind,Bilateral mastectomy indicator,"0=No, 1=Yes",1,,,This is an indicator used to define if a participant had a bilateral mastectomy,,,,,
Participant,,,bilateral_oophorectomy_dt,Date of bilateral oophorectomy,,,,,"This is the earliest date recorded for a bilateral oophorectomy.
If derived from two separate unilateral oophorectomy surgeries, it is the date from the second surgery
If derived from Questionaire 1 answers, then it is the fill date for the Questionnaire",,,,,
Participant,,,bilateral_oophorectomy_ind,Bilateral oophorectomy indicator,"0=No, 1=Yes",1,,,This is an indicator used to define if a participant had a bilateral oophorectomy,,,,,
Participant,,,first_moveout_ca_dt,Date first moved out of CA,MMDDYYYY,,,,"Date that participant moved out of California. Only state moves longer than 4 months were considered as true moves in an attempt to avoid vacations, temporary moves or relative/family moves.",,,,,
Cancer,,,case_indicator,Case indicator,"0=This row is not a case of the cancer of interest
1=This row is a case as defined by the researcher's selections",,,,"This indicator marks cases of the cancer of interest at the row level. If your selections do not include multiple cancers, this will mark participants with the cancer of interest. If your selections include multiple cancers per participant, this indicator will mark which of their cancers is or is not your cancer of interest.",,,,,
Cancer,,,analysis_start_date,Analysis start date,,,,,Analysis start date is either the fill date of the first CTS questionnaire or another date as selected by the researcher.,,,,,
Cancer,,,end_of_followup_date,End of follow-up date,,,,,"The end of follow-up date is either the current administrative censoring date, or an earlier date as selected by the researcher.",,,,,
Cancer,,,prevalent,Prevalent cancer before analysis start date,"0=No, 1=Yes",,,,This indicator marks participants who have at least one record of prevalent cancer before the chosen analysis start date (including self-reports from the first questionnaire). This variable only appears in the data if a user has not chosen to exclude prevalent cancers.,,,,,
Cancer,,,firstselectedcancer_date,First selected cancer date,,,,,The first diagnosis date within the chosen analytic time frame for the selected cancer of interest.,,,,,
